image_id,degradation_type,field,ground_truth,prediction,exact_match,edit_distance_score
id_card_0001,clean,name,GINA MOORE,GINA MOORE,1,1.0
id_card_0001,clean,dob,1987-08-26,1987-08-26,1,1.0
id_card_0001,clean,id_number,DL-RV43321IF,DL-RV43321IF,1,1.0
id_card_0001,clean,address,"01338 ANNA STRAVENUE SUITE 379, LISATOWN, WV 21427","01338 ANNA STRAVENUE SUITE 379, LISATOWN, WV 21427",1,1.0
id_card_0001,clean,issue_date,2021-09-07,2021-09-07,1,1.0
id_card_0001,clean,expiry_date,2025-09-06,2025-09-06,1,1.0
id_card_0002,clean,name,JAMIE CHAVEZ,JAMIE CHAVEZ,1,1.0
id_card_0002,clean,dob,2006-01-30,2006-01-30,1,1.0
id_card_0002,clean,id_number,DL-MQ16155ZC,DL-MQ16155ZC,1,1.0
id_card_0002,clean,address,"161 CALDERON RIVER SUITE 931, LAKE JEREMYPORT, CO 31013","161 CALDERON RIVER SUITE 931, LAKE JEREMYPORT, CO 31013",1,1.0
id_card_0002,clean,issue_date,2023-03-30,2023-03-30,1,1.0
id_card_0002,clean,expiry_date,2028-03-28,2028-03-28,1,1.0
id_card_0003,clean,name,THOMAS BRADLEY,THOMAS BRADLEY,1,1.0
id_card_0003,clean,dob,1998-12-10,1998-12-10,1,1.0
id_card_0003,clean,id_number,DL-OK53419IU,DL-OK53419IU,1,1.0
id_card_0003,clean,address,"76483 CAMERON TRAIL, EAST LYDIAMOUTH, MO 35594","76483 CAMERON TRAIL, EAST LYDIAMOUTH, MO 35594",1,1.0
id_card_0003,clean,issue_date,2022-05-17,2022-05-17,1,1.0
id_card_0003,clean,expiry_date,2030-05-15,2030-05-15,1,1.0
id_card_0004,clean,name,JANICE CARLSON,JANICE CARLSON,1,1.0
id_card_0004,clean,dob,1992-03-15,1992-03-15,1,1.0
id_card_0004,clean,id_number,DL-IP76724VJ,DL-IP76724VJ,1,1.0
id_card_0004,clean,address,"969 COX DAM SUITE 101, LAKE ERNEST, TX 55834","969 COX DAM SUITE 101, LAKE ERNEST, TX 55834",1,1.0
id_card_0004,clean,issue_date,2022-08-16,2022-08-16,1,1.0
id_card_0004,clean,expiry_date,2027-08-15,2027-08-15,1,1.0
id_card_0005,clean,name,LINDA BURNS,LINDA BURNS,1,1.0
id_card_0005,clean,dob,1977-09-16,1977-09-16,1,1.0
id_card_0005,clean,id_number,DL-XP80184VH,DL-XP80184VH,1,1.0
id_card_0005,clean,address,"2704 WILLIAM COVES SUITE 893, WEST KATHRYN, ND 70015","2704 WILLIAM COVES SUITE 893, WEST KATHRYN, ND 70015",1,1.0
id_card_0005,clean,issue_date,2022-10-26,2022-10-26,1,1.0
id_card_0005,clean,expiry_date,2030-10-24,2030-10-24,1,1.0
id_card_0006,clean,name,MICHELLE ROSS,MICHELLE ROSS,1,1.0
id_card_0006,clean,dob,1957-01-18,1957-01-18,1,1.0
id_card_0006,clean,id_number,DL-FF43039UF,DL-FF43039UF,1,1.0
id_card_0006,clean,address,"227 JOSEPH WELL, BRANDTSIDE, WV 96174","227 JOSEPH WELL, BRANDTSIDE, WV 96174",1,1.0
id_card_0006,clean,issue_date,2023-05-18,2023-05-18,1,1.0
id_card_0006,clean,expiry_date,2028-05-16,2028-05-16,1,1.0
id_card_0007,clean,name,MR. NATHANIEL KHAN,MR. NATHANIEL KHAN,1,1.0
id_card_0007,clean,dob,1989-07-09,1989-07-09,1,1.0
id_card_0007,clean,id_number,DL-EV87133BL,DL-EV87133BL,1,1.0
id_card_0007,clean,address,"301 JEREMY BYPASS, CHADBURY, KY 88185","301 JEREMY BYPASS, CHADBURY, KY 88185",1,1.0
id_card_0007,clean,issue_date,2023-06-06,2023-06-06,1,1.0
id_card_0007,clean,expiry_date,2028-06-04,2028-06-04,1,1.0
id_card_0008,clean,name,THOMAS RAMOS,THOMAS RAMOS,1,1.0
id_card_0008,clean,dob,1983-12-26,1983-12-26,1,1.0
id_card_0008,clean,id_number,DL-QB76311WB,DL-QB76311WB,1,1.0
id_card_0008,clean,address,"0106 MCBRIDE COVES APT. 338, TAYLORBURGH, KY 61138","0106 MCBRIDE COVES APT. 338, TAYLORBURGH, KY 61138",1,1.0
id_card_0008,clean,issue_date,2022-10-10,2022-10-10,1,1.0
id_card_0008,clean,expiry_date,2027-10-09,2027-10-09,1,1.0
id_card_0009,clean,name,MR. DANIEL BROWN,MR. DANIEL BROWN,1,1.0
id_card_0009,clean,dob,2000-07-09,2000-07-09,1,1.0
id_card_0009,clean,id_number,DL-KA08013FE,DL-KA08013FE,1,1.0
id_card_0009,clean,address,"0260 BAKER TUNNEL, MITCHELLSIDE, TN 94664","0260 BAKER TUNNEL, MITCHELLSIDE, TN 94664",1,1.0
id_card_0009,clean,issue_date,2024-04-24,2024-04-24,1,1.0
id_card_0009,clean,expiry_date,2028-04-23,2028-04-23,1,1.0
id_card_0010,clean,name,KEVIN MILLS,KEVIN MILLS,1,1.0
id_card_0010,clean,dob,1993-03-27,1993-03-27,1,1.0
id_card_0010,clean,id_number,DL-GH50097KD,DL-GH50097KD,1,1.0
id_card_0010,clean,address,"19136 SHELLY PORT, NEW BROOKE, RI 11246","19136 SHELLY PORT, NEW BROOKE, RI 11246",1,1.0
id_card_0010,clean,issue_date,2021-11-12,2021-11-12,1,1.0
id_card_0010,clean,expiry_date,2025-11-11,2025-11-11,1,1.0
id_card_0011,clean,name,LISA ARCHER,LISA ARCHER,1,1.0
id_card_0011,clean,dob,2004-10-10,2004-10-10,1,1.0
id_card_0011,clean,id_number,DL-QP53462TD,DL-QP53462TD,1,1.0
id_card_0011,clean,address,"07991 AMANDA PARKWAYS SUITE 251, WEST JUSTIN, NV 71701","07991 AMANDA PARKWAYS SUITE 251, WEST JUSTIN, NV 71701",1,1.0
id_card_0011,clean,issue_date,2022-08-01,2022-08-01,1,1.0
id_card_0011,clean,expiry_date,2026-07-31,2026-07-31,1,1.0
id_card_0012,clean,name,JEFF HILL,JEFF HILL,1,1.0
id_card_0012,clean,dob,1988-06-29,1988-06-29,1,1.0
id_card_0012,clean,id_number,DL-HG84124VJ,DL-HG84124VJ,1,1.0
id_card_0012,clean,address,"4935 GRACE WALK, WILLIAMVIEW, MH 07159","4935 GRACE WALK, WILLIAMVIEW, MH 07159",1,1.0
id_card_0012,clean,issue_date,2021-08-07,2021-08-07,1,1.0
id_card_0012,clean,expiry_date,2029-08-05,2029-08-05,1,1.0
id_card_0013,clean,name,DAVID GARCIA,DAVID GARCIA,1,1.0
id_card_0013,clean,dob,1950-10-08,1950-10-08,1,1.0
id_card_0013,clean,id_number,DL-JA42786HE,DL-JA42786HE,1,1.0
id_card_0013,clean,address,"059 RUSSELL CANYON, MICHAELTON, MH 47399","059 RUSSELL CANYON, MICHAELTON, MH 47399",1,1.0
id_card_0013,clean,issue_date,2025-06-01,2025-06-01,1,1.0
id_card_0013,clean,expiry_date,2030-05-31,2030-05-31,1,1.0
id_card_0014,clean,name,SHELBY WALKER,SHELBY WALKER,1,1.0
id_card_0014,clean,dob,1995-10-23,1995-10-23,1,1.0
id_card_0014,clean,id_number,DL-ZZ69232LA,DL-ZZ69232LA,1,1.0
id_card_0014,clean,address,"56342 PATRICK CAMP, WALKERMOUTH, MI 40502","56342 PATRICK CAMP, WALKERMOUTH, MI 40502",1,1.0
id_card_0014,clean,issue_date,2025-12-25,2025-12-25,1,1.0
id_card_0014,clean,expiry_date,2032-12-23,2032-12-23,1,1.0
id_card_0015,clean,name,CHERYL WILLIAMS,CHERYL WILLIAMS,1,1.0
id_card_0015,clean,dob,1988-11-04,1988-11-04,1,1.0
id_card_0015,clean,id_number,DL-ZR41458IV,DL-ZR41458IV,1,1.0
id_card_0015,clean,address,"42940 CANDACE KEY, SAMUELHAVEN, DE 50989","42940 CANDACE KEY, SAMUELHAVEN, DE 50989",1,1.0
id_card_0015,clean,issue_date,2023-07-21,2023-07-21,1,1.0
id_card_0015,clean,expiry_date,2029-07-19,2029-07-19,1,1.0
id_card_0016,clean,name,MEGAN ORR,MEGAN ORR,1,1.0
id_card_0016,clean,dob,1975-11-08,1975-11-08,1,1.0
id_card_0016,clean,id_number,DL-QV83561NU,DL-QV83561NU,1,1.0
id_card_0016,clean,address,"484 NGUYEN SQUARE, ANGELABOROUGH, MT 87654","484 NGUYEN SQUARE, ANGELABOROUGH, MT 87654",1,1.0
id_card_0016,clean,issue_date,2024-02-28,2024-02-28,1,1.0
id_card_0016,clean,expiry_date,2032-02-26,2032-02-26,1,1.0
id_card_0017,clean,name,CURTIS JOHNSON,CURTIS JOHNSON,1,1.0
id_card_0017,clean,dob,1986-04-06,1986-04-06,1,1.0
id_card_0017,clean,id_number,DL-BY80443LM,DL-BY80443LM,1,1.0
id_card_0017,clean,address,"7738 LEON UNDERPASS APT. 148, CLARENCEBURY, TX 41188","7738 LEON UNDERPASS APT. 148, CLARENCEBURY, TX 41188",1,1.0
id_card_0017,clean,issue_date,2023-01-24,2023-01-24,1,1.0
id_card_0017,clean,expiry_date,2030-01-22,2030-01-22,1,1.0
id_card_0018,clean,name,LINDA DODSON DVM,LINDA DODSON DVM,1,1.0
id_card_0018,clean,dob,1964-10-05,1964-10-05,1,1.0
id_card_0018,clean,id_number,DL-TS17693YF,DL-TS17693YF,1,1.0
id_card_0018,clean,address,"20163 LINDA SQUARE SUITE 083, SOUTH DENNISMOUTH, TN 70117","20163 LINDA SQUARE SUITE 083, SOUTH DENNISMOUTH, TN 70117",1,1.0
id_card_0018,clean,issue_date,2023-12-09,2023-12-09,1,1.0
id_card_0018,clean,expiry_date,2029-12-07,2029-12-07,1,1.0
id_card_0019,clean,name,CHRIS REYES,CHRIS REYES,1,1.0
id_card_0019,clean,dob,1986-02-05,1986-02-05,1,1.0
id_card_0019,clean,id_number,DL-VE86872CQ,DL-VE86872CQ,1,1.0
